"id","name","code","department_id","description"
"1","Medellín","05001","2","Medellín - Antioquia"
"2","Abejorral","05002","2","Abejorral - Antioquia"
"3","Abriaquí","05004","2","Abriaquí - Antioquia"
"4","Alejandría","05021","2","Alejandría - Antioquia"
"5","Amagá","05030","2","Amagá - Antioquia"
"6","Amalfi","05031","2","Amalfi - Antioquia"
"7","Andes","05034","2","Andes - Antioquia"
"8","Angelópolis","05036","2","Angelópolis - Antioquia"
"9","Angostura","05038","2","Angostura - Antioquia"
"10","Anorí","05040","2","Anorí - Antioquia"
"11","Santa Fé De Antioquia","05042","2","Santa Fé De Antioquia - Antioquia"
"12","Anzá","05044","2","Anzá - Antioquia"
"13","Apartadó","05045","2","Apartadó - Antioquia"
"14","Arboletes","05051","2","Arboletes - Antioquia"
"15","Argelia","05055","2","Argelia - Antioquia"
"16","Armenia","05059","2","Armenia - Antioquia"
"17","Barbosa","05079","2","Barbosa - Antioquia"
"18","Belmira","05086","2","Belmira - Antioquia"
"19","Bello","05088","2","Bello - Antioquia"
"20","Betania","05091","2","Betania - Antioquia"
"21","Betulia","05093","2","Betulia - Antioquia"
"22","Ciudad Bolívar ","05101","2","Ciudad Bolívar - Antioquia"
"23","Briceño","05107","2","Briceño - Antioquia"
"24","Buriticá","05113","2","Buriticá - Antioquia"
"25","Cáceres","05120","2","Cáceres - Antioquia"
"26","Caicedo","05125","2","Caicedo - Antioquia"
"27","Caldas","05129","2","Caldas - Antioquia"
"28","Campamento","05134","2","Campamento - Antioquia"
"29","Cañasgordas","05138","2","Cañasgordas - Antioquia"
"30","Caracolí","05142","2","Caracolí - Antioquia"
"31","Caramanta","05145","2","Caramanta - Antioquia"
"32","Carepa","05147","2","Carepa - Antioquia"
"33","El Carmen De Viboral","05148","2","El Carmen De Viboral - Antioquia"
"34","Carolina","05150","2","Carolina - Antioquia"
"35","Caucasia","05154","2","Caucasia - Antioquia"
"36","Chigorodó","05172","2","Chigorodó - Antioquia"
"37","Cisneros","05190","2","Cisneros - Antioquia"
"38","Cocorná","05197","2","Cocorná - Antioquia"
"39","Concepción","05206","2","Concepción - Antioquia"
"40","Concordia","05209","2","Concordia - Antioquia"
"41","Copacabana","05212","2","Copacabana - Antioquia"
"42","Dabeiba","05234","2","Dabeiba - Antioquia"
"43","Donmatías","05237","2","Donmatías - Antioquia"
"44","Ebéjico","05240","2","Ebéjico - Antioquia"
"45","El Bagre ","05250","2","El Bagre - Antioquia"
"46","Entrerríos","05264","2","Entrerríos - Antioquia"
"47","Envigado","05266","2","Envigado - Antioquia"
"48","Fredonia","05282","2","Fredonia - Antioquia"
"49","Frontino","05284","2","Frontino - Antioquia"
"50","Giraldo","05306","2","Giraldo - Antioquia"
"51","Girardota","05308","2","Girardota - Antioquia"
"52","Gómez Plata ","05310","2","Gómez Plata - Antioquia"
"53","Granada","05313","2","Granada - Antioquia"
"54","Guadalupe","05315","2","Guadalupe - Antioquia"
"55","Guarne","05318","2","Guarne - Antioquia"
"56","Guatapé","05321","2","Guatapé - Antioquia"
"57","Heliconia","05347","2","Heliconia - Antioquia"
"58","Hispania","05353","2","Hispania - Antioquia"
"59","Itagüí","05360","2","Itagüí - Antioquia"
"60","Ituango","05361","2","Ituango - Antioquia"
"61","Jardín","05364","2","Jardín - Antioquia"
"62","Jericó","05368","2","Jericó - Antioquia"
"63","La Ceja ","05376","2","La Ceja - Antioquia"
"64","La Estrella ","05380","2","La Estrella - Antioquia"
"65","La Pintada ","05390","2","La Pintada - Antioquia"
"66","La Unión ","05400","2","La Unión - Antioquia"
"67","Liborina","05411","2","Liborina - Antioquia"
"68","Maceo","05425","2","Maceo - Antioquia"
"69","Marinilla","05440","2","Marinilla - Antioquia"
"70","Montebello","05467","2","Montebello - Antioquia"
"71","Murindó","05475","2","Murindó - Antioquia"
"72","Mutatá","05480","2","Mutatá - Antioquia"
"73","Nariño","05483","2","Nariño - Antioquia"
"74","Necoclí","05490","2","Necoclí - Antioquia"
"75","Nechí","05495","2","Nechí - Antioquia"
"76","Olaya","05501","2","Olaya - Antioquia"
"77","Peñol","05541","2","Peñol - Antioquia"
"78","Peque","05543","2","Peque - Antioquia"
"79","Pueblorrico","05576","2","Pueblorrico - Antioquia"
"80","Puerto Berrío ","05579","2","Puerto Berrío - Antioquia"
"81","Puerto Nare ","05585","2","Puerto Nare - Antioquia"
"82","Puerto Triunfo ","05591","2","Puerto Triunfo - Antioquia"
"83","Remedios","05604","2","Remedios - Antioquia"
"84","Retiro","05607","2","Retiro - Antioquia"
"85","Rionegro","05615","2","Rionegro - Antioquia"
"86","Sabanalarga","05628","2","Sabanalarga - Antioquia"
"87","Sabaneta","05631","2","Sabaneta - Antioquia"
"88","Salgar","05642","2","Salgar - Antioquia"
"89","San Andrés De Cuerquía","05647","2","San Andrés De Cuerquía - Antioquia"
"90","San Carlos ","05649","2","San Carlos - Antioquia"
"91","San Francisco ","05652","2","San Francisco - Antioquia"
"92","San Jerónimo ","05656","2","San Jerónimo - Antioquia"
"93","San José De La Montaña ","05658","2","San José De La Montaña - Antioquia"
"94","San Juan De Urabá","05659","2","San Juan De Urabá - Antioquia"
"95","San Luis ","05660","2","San Luis - Antioquia"
"96","San Pedro De Los Milagros ","05664","2","San Pedro De Los Milagros - Antioquia"
"97","San Pedro De Urabá","05665","2","San Pedro De Urabá - Antioquia"
"98","San Rafael ","05667","2","San Rafael - Antioquia"
"99","San Roque ","05670","2","San Roque - Antioquia"
"100","San Vicente Ferrer","05674","2","San Vicente Ferrer - Antioquia"
"101","Santa Bárbara ","05679","2","Santa Bárbara - Antioquia"
"102","Santa Rosa De Osos","05686","2","Santa Rosa De Osos - Antioquia"
"103","Santo Domingo ","05690","2","Santo Domingo - Antioquia"
"104","El Santuario ","05697","2","El Santuario - Antioquia"
"105","Segovia","05736","2","Segovia - Antioquia"
"106","Sonsón","05756","2","Sonsón - Antioquia"
"107","Sopetrán","05761","2","Sopetrán - Antioquia"
"108","Támesis","05789","2","Támesis - Antioquia"
"109","Tarazá","05790","2","Tarazá - Antioquia"
"110","Tarso","05792","2","Tarso - Antioquia"
"111","Titiribí","05809","2","Titiribí - Antioquia"
"112","Toledo","05819","2","Toledo - Antioquia"
"113","Turbo","05837","2","Turbo - Antioquia"
"114","Uramita","05842","2","Uramita - Antioquia"
"115","Urrao","05847","2","Urrao - Antioquia"
"116","Valdivia","05854","2","Valdivia - Antioquia"
"117","Valparaíso","05856","2","Valparaíso - Antioquia"
"118","Vegachí","05858","2","Vegachí - Antioquia"
"119","Venecia","05861","2","Venecia - Antioquia"
"120","Vigía Del Fuerte","05873","2","Vigía Del Fuerte - Antioquia"
"121","Yalí","05885","2","Yalí - Antioquia"
"122","Yarumal","05887","2","Yarumal - Antioquia"
"123","Yolombó","05890","2","Yolombó - Antioquia"
"124","Yondó","05893","2","Yondó - Antioquia"
"125","Zaragoza","05895","2","Zaragoza - Antioquia"
"126","Barranquilla","08001","4","Barranquilla - Atlántico"
"127","Baranoa","08078","4","Baranoa - Atlántico"
"128","Campo De La Cruz","08137","4","Campo De La Cruz - Atlántico"
"129","Candelaria","08141","4","Candelaria - Atlántico"
"130","Galapa","08296","4","Galapa - Atlántico"
"131","Juan De Acosta","08372","4","Juan De Acosta - Atlántico"
"132","Luruaco","08421","4","Luruaco - Atlántico"
"133","Malambo","08433","4","Malambo - Atlántico"
"134","Manatí","08436","4","Manatí - Atlántico"
"135","Palmar De Varela","08520","4","Palmar De Varela - Atlántico"
"136","Piojó","08549","4","Piojó - Atlántico"
"137","Polonuevo","08558","4","Polonuevo - Atlántico"
"138","Ponedera","08560","4","Ponedera - Atlántico"
"139","Puerto Colombia ","08573","4","Puerto Colombia - Atlántico"
"140","Repelón","08606","4","Repelón - Atlántico"
"141","Sabanagrande","08634","4","Sabanagrande - Atlántico"
"142","Sabanalarga","08638","4","Sabanalarga - Atlántico"
"143","Santa Lucía ","08675","4","Santa Lucía - Atlántico"
"144","Santo Tomás ","08685","4","Santo Tomás - Atlántico"
"145","Soledad","08758","4","Soledad - Atlántico"
"146","Suan","08770","4","Suan - Atlántico"
"147","Tubará","08832","4","Tubará - Atlántico"
"148","Usiacurí","08849","4","Usiacurí - Atlántico"
"149","Bogotá, D.c. ","11001","5","Bogotá, D.c. - Bogotá"
"150","Cartagena De Indias","13001","6","Cartagena De Indias - Bolívar"
"151","Achí","13006","6","Achí - Bolívar"
"152","Altos Del Rosario","13030","6","Altos Del Rosario - Bolívar"
"153","Arenal","13042","6","Arenal - Bolívar"
"154","Arjona","13052","6","Arjona - Bolívar"
"155","Arroyohondo","13062","6","Arroyohondo - Bolívar"
"156","Barranco De Loba","13074","6","Barranco De Loba - Bolívar"
"157","Calamar","13140","6","Calamar - Bolívar"
"158","Cantagallo","13160","6","Cantagallo - Bolívar"
"159","Cicuco","13188","6","Cicuco - Bolívar"
"160","Córdoba","13212","6","Córdoba - Bolívar"
"161","Clemencia","13222","6","Clemencia - Bolívar"
"162","El Carmen De Bolívar","13244","6","El Carmen De Bolívar - Bolívar"
"163","El Guamo ","13248","6","El Guamo - Bolívar"
"164","El Peñón ","13268","6","El Peñón - Bolívar"
"165","Hatillo De Loba","13300","6","Hatillo De Loba - Bolívar"
"166","Magangué","13430","6","Magangué - Bolívar"
"167","Mahates","13433","6","Mahates - Bolívar"
"168","Margarita","13440","6","Margarita - Bolívar"
"169","María La Baja","13442","6","María La Baja - Bolívar"
"170","Montecristo","13458","6","Montecristo - Bolívar"
"171","Mompós","13468","6","Mompós - Bolívar"
"172","Morales","13473","6","Morales - Bolívar"
"173","Norosí","13490","6","Norosí - Bolívar"
"174","Pinillos","13549","6","Pinillos - Bolívar"
"175","Regidor","13580","6","Regidor - Bolívar"
"176","Río Viejo ","13600","6","Río Viejo - Bolívar"
"177","San Cristóbal ","13620","6","San Cristóbal - Bolívar"
"178","San Estanislao ","13647","6","San Estanislao - Bolívar"
"179","San Fernando ","13650","6","San Fernando - Bolívar"
"180","San Jacinto ","13654","6","San Jacinto - Bolívar"
"181","San Jacinto Del Cauca","13655","6","San Jacinto Del Cauca - Bolívar"
"182","San Juan Nepomuceno","13657","6","San Juan Nepomuceno - Bolívar"
"183","San Martín De Loba","13667","6","San Martín De Loba - Bolívar"
"184","San Pablo ","13670","6","San Pablo - Bolívar"
"185","Santa Catalina ","13673","6","Santa Catalina - Bolívar"
"186","Santa Rosa ","13683","6","Santa Rosa - Bolívar"
"187","Santa Rosa Del Sur","13688","6","Santa Rosa Del Sur - Bolívar"
"188","Simití","13744","6","Simití - Bolívar"
"189","Soplaviento","13760","6","Soplaviento - Bolívar"
"190","Talaigua Nuevo ","13780","6","Talaigua Nuevo - Bolívar"
"191","Tiquisio","13810","6","Tiquisio - Bolívar"
"192","Turbaco","13836","6","Turbaco - Bolívar"
"193","Turbaná","13838","6","Turbaná - Bolívar"
