"id","name","scope","code"
"1","Plan de beneficios en salud financiado con UPC","health","01"
"2","Presupuesto maximo","health","02"
"3","Prima EPS / EOC, no asegurados SOAT","health","03"
"4","Cobertura Poliza SOAT","health","04"
"5","Cobertura ARL","health","05"
"6","Cobertura ADRES","health","06"
"7","Cobertura Salud Publica","health","07"
"8","Cobertura entidad territorial, recursos de oferta","health","08"
"9","Urgencias poblacion migrante","health","09"
"10","Plan complementario en salud","health","10"
"11","Plan medicina prepagada","health","11"
"12","Otras polizas en salud","health","12"
"13","Cobertura Regimen Especial o Excepcion","health","13"
"14","Cobertura Fondo Nacional de Salud de las Personas Privadas de la Libertad","health","14"
"15","Particular","health","15"
"16","Plan de beneficios en salud financiado con UPC Contributivo","health","16"
"17","Plan de beneficios en salud financiado con UPC Subsidiado","health","17"
