"id","name","scope","code"
"1","Registro civil ","","11"
"2","Tarjeta de identidad ","","12"
"3","Cédula de ciudadanía ","","13"
"4","Tarjeta de extranjería ","","21"
"5","Cédula de extranjería ","","22"
"6","NIT","","31"
"7","Pasaporte ","","41"
"8","Documento de identificación extranjero ","","42"
"9","NIT de otro país","","50"
"10","NUIP ","","91"
"11","Cédula de ciudadanía","health","CC"
"12","Cédula de extranjería","health","CE"
"13","Carné diplomático","health","CD"
"14","Pasaporte","health","PA"
"15","Salvoconducto","health","SC"
"16","Permiso especial de permanencia","health","PE"
"17","Registro civil de nacimiento","health","RC"
"18","Tarjeta de identidad","health","TI"
"19","Certificado de nacido vivo","health","CN"
"20","Adulto sin identificar","health","AS"
"21","Menor sin identificar","health","MS"
"22","Documento extranjero","health","DE"
"23","Sin identificación","health","SI"
