"id","name","code","cufe_algorithm","prefix","type"
"1","Factura electrónica de venta","01","CUFE-SHA384","fv","CUFE"
"2","Factura electrónica de exportación","02","CUFE-SHA384","fv","CUFE"
"3","Factura electrónica de contingencia talonario o papel","03","CUDE-SHA384","fv","CUDE"
"4","Factura electrónica de contingencia contingencia DIAN","04","CUFE-SHA384","fv","CUFE"
"5","Nota de crédito electrónica","91","CUDE-SHA384","nc","CUDE"
"6","Nota de débito electrónica","92","CUDE-SHA384","nd","CUDE"
"7","ZIP","","","z",""
"8","Application Response","96","CUDE-SHA384","ar","CUDE"
"9","Attached Document","","","ad",""
"10","Documento Soporte de Pago de Nómina Electrónica","102","CUNE-SHA384","nie","CUNE"
"11","Nota de Ajuste de Documento Soporte de Pago de Nómina Electrónica","103","CUNE-SHA384","niae","CUNE"
"12","Documento soporte en adquisiciones efectuadas a sujetos no obligados a expedir factura o documento equivalente","05","CUDS-SHA384","ds","CUDS"
"13","Nota de ajuste al documento soporte en adquisiciones efectuadas a sujetos no obligados a expedir factura o documento equivalente","95","CUDS-SHA384","nas","CUDS"
"14","Documento equivalente POS","20","CUDE-SHA384","ds","CUDE"
"15","Nota de Ajuste Documento Equivalente","94","CUDE-SHA384","ds","CUDE"
"17","Documento equivalente SPD","60","CUDE-SHA384","ds","CUDE"
"18","Documento Equivalente Transporte Terrestre de pasajeros","35","CUDE-SHA384","ds","CUDE"
"19","Documento Equivalente Extractos","45","CUDE-SHA384","ds","CUDE"
"20","Documento Equivalente Transporte aéreo de pasajeros","50","CUDE-SHA384","ds","CUDE"
"21","Documento Equivalente Juegos localizados y no localizados","32","CUDE-SHA384","ds","CUDE"
"22","Documento Equivalente Cobro de Peajes","40","CUDE-SHA384","ds","CUDE"
"23","Documento Bolsa de valores","55","CUDE-SHA384","ds","CUDE"
"24","Documento equivalente Espectáculos públicos","27","CUDE-SHA384","ds","CUDE"
"25","Documento equivalente Boleto de ingreso a cine","25","CUDE-SHA384","ds","CUDE"
"101","Factura de Venta (No electrónica)","","","",""
"105","Nota de crédito (No electrónica)","","","",""
"106","Nota de débito (No electrónica)","","","",""
