"id","name","scope","code"
"1","Servicio adicional","transport","0"
"2","Remesa de transporte registrada en el RNDC","transport","1"
"3","B/S ingreso propio","mandate","0"
"4","B/S Ingresos Recibidos para Terceros","mandate","1"
"5","B/S ingreso propio","spd","0"
"6","B/S Ingresos Recaudados para Terceros","spd","1"
"7","B/S Ingresos Facturados para terceros","spd","2"
"8","B/S ingreso propio","toll","0"
"9","B/S Ingresos Recaudados para Terceros","toll","1"
"10","B/S Ingresos Facturados para terceros","toll","2"
"11","B/S ingreso propio","public-spectacle","0"
"12","B/S Ingresos Recaudados para Terceros","public-spectacle","1"
"13","B/S Ingresos Facturados para terceros","public-spectacle","2"
"14","B/S ingreso propio","cinema","0"
"15","B/S Ingresos Recaudados para Terceros","cinema","1"
"16","B/S Ingresos Facturados para terceros","cinema","2"
"17","B/S ingreso propio","stock-exchange","0"
"18","B/S Ingresos Recaudados para Terceros","stock-exchange","1"
"19","B/S Ingresos Facturados para terceros","stock-exchange","2"
"20","B/S ingreso propio","ground-transportation","0"
"21","B/S Ingresos Recaudados para Terceros","ground-transportation","1"
"22","B/S Ingresos Facturados para terceros","ground-transportation","2"
