"id","name","scope","code"
"9","AIU","","09"
"10","Estándar","","10"
"11","Mandatos","","11"
"12","Transporte","","12"
"13","Nota Crédito que referencia una factura electrónica.","","20"
"14","Nota Crédito sin referencia a facturas.","","22"
"16","Nota Débito que referencia una factura electrónica.","","30"
"17","Nota Débito sin referencia a facturas.","","32"
"19","SS-CUFE","health","SS-CUFE"
"20","SS-CUDE","health","SS-CUDE"
"21","SS-POS","health","SS-POS"
"22","SS-SNum","health","SS-SNum"
"23","SS-Recaudo","health","SS-Recaudo"
"24","SS-Reporte","health","SS-Reporte"
"25","Cambiario","","13"
"26","SS-SinAporte","health","SS-SinAporte"
"28","Residente","document-electronic-support","10"
"29","No Residente","document-electronic-support","11"
"30","Notariios","","14"
"31","Compra Divisas","","15"
"32","Venta Divisas","","16"
"33","Nota de ajuste al documento Equivalente","","20"
