"id","code","name"
1,"1","CHEVROLET"
2,"2","DAEWOO"
3,"3","FIAT"
5,"5","KIA"
6,"6","MAZDA"
8,"8","RENAULT"
9,"9","VOLKSWAGEN"
10,"10","DODGE"
11,"11","SIMCA"
12,"12","PLYMOUTH"
13,"13","OLDSMOBILE"
14,"14","LANCIA"
15,"15","NISSAN"
16,"16","PEUGEOT"
17,"17","SUBARU"
18,"18","DATSUN"
19,"19","BUICK"
20,"20","CADILLAC"
21,"21","HONDA"
22,"22","BRONCO"
23,"23","MITSUBISHI"
24,"24","PONTIAC"
25,"25","TOYOTA"
26,"26","VOLVO"
27,"27","ALFA ROMEO"
28,"28","BMW"
29,"29","FERRARI"
30,"30","MERCEDES BENZ"
32,"32","ROLLS ROYCE"
33,"33","JAGUAR"
34,"34","DACIA"
35,"35","LADA"
36,"36","OLTCIT"
37,"37","TAVRIA"
39,"39","VOLGA"
40,"40","SKODA"
41,"41","CITROEN"
42,"42","DAIHATSU"
44,"44","GAZ"
45,"45","UAZ"
46,"46","ARO"
47,"47","MERCURY"
48,"48","OPEL"
49,"49","ISUZU"
50,"50","JEEP"
51,"51","LAND ROVER"
52,"52","SUZUKI"
53,"53","CHRYSLER"
54,"54","FORD"
56,"56","YAMAHA"
57,"57","KAWASAKI"
60,"60","HARLEY DAVIDSON"
61,"61","AUTECO"
62,"62","INTERNATIONAL"
63,"63","ASIA MOTOR"
64,"64","MACK"
65,"65","CAGIVA"
66,"66","WILLYS"
67,"67","KENWORTH"
68,"68","IVECO"
69,"69","LAMBRETA"
71,"71","MINSK"
72,"72","HERO"
73,"73","AUSTIN"
74,"74","AUTOCAR"
75,"75","DESOTO"
76,"76","HINO"
83,"83","DINA"
84,"84","GEO"
85,"85","DELTA"
86,"86","HYOSUNG"
89,"89","HUSQVARNA"
91,"91","GMC"
95,"95","VIASA"
97,"97","KUBOTA"
101,"101","TAM"
104,"104","BELARUS"
108,"108","JIALING"
110,"110","ZASTAVA"
112,"112","HUALI"
113,"113","MONTESA"
114,"114","FARGO"
115,"115","ROVER"
118,"118","CORCEL"
119,"119","KAMAZ"
120,"120","PUCH"
121,"121","EBRO"
123,"123","JINCHENG"
125,"125","NASH"
126,"126","WARTBURG"
127,"127","MORRIS"
128,"128","RAMBLER"
129,"129","WILLCO"
130,"130","QJIANG"
135,"135","SISU"
136,"136","SEAT"
138,"138","ABARTH"
139,"139","AUDI"
142,"142","ASTON MARTIN"
143,"143","AUTO UNION"
144,"144","AVIA"
146,"146","CHECKER"
148,"148","BROCK WAY"
149,"149","BORG WARD"
150,"150","BENTLEY"
151,"151","BUSSING"
153,"153","BEDFORD"
154,"154","BERLIET"
156,"156","BARREIROS"
158,"158","COMMER"
163,"163","DKW"
165,"165","EDSEL"
167,"167","FORDSON"
169,"169","FREIGHTLINER"
171,"171","FAUN"
175,"175","HOHOLDEN"
176,"176","HILLMAN"
178,"178","HUDSON"
179,"179","IFA"
181,"181","ISO"
184,"184","KIAMASTER"
185,"185","LAMBORGHINI"
188,"188","LOTUS"
189,"189","INDUANDINAS"
190,"190","MAN"
191,"191","MAGIRUS DEUTZ"
192,"192","MOSKOVICH"
195,"195","MURAVEY"
196,"196","NECKAR"
198,"198","PACKARD"
200,"200","F.S.O."
201,"201","ALEKO"
202,"202","AMERICAN MOTOR"
204,"204","ROA"
205,"205","BEIJING"
206,"206","DERBY"
207,"207","HENRY J"
208,"208","HYUNDAI"
209,"209","JAWA"
210,"210","LEXUS"
212,"212","MINICORD"
213,"213","PEGASSO"
214,"214","PORSCHE"
215,"215","REO"
216,"216","SCANIA"
217,"217","SSANGYONG"
218,"218","STUDEBAKER"
219,"219","TRIUMPH"
220,"220","WARZAMA"
221,"221","PIAGGIO"
222,"222","COLMOVE"
223,"223","DAELIM"
224,"224","JIANSHE"
225,"225","YUGO"
226,"226","HUMMER"
227,"227","KTM"
228,"228","BAJAJ"
229,"229","POLONEZ"
230,"230","BEISUTE"
231,"231","XINGFU"
232,"232","AGRALE"
233,"233","PETERBILT"
234,"234","DUCATI"
235,"235","MG"
236,"236","RAF"
237,"237","SPARTAN"
238,"238","PRINCE"
239,"239","KINETIC"
240,"240","BOMBARDIER"
241,"241","INFINITI"
242,"242","DAYANG"
243,"243","ZUMY"
244,"244","VAUSHALL"
245,"245","VESPA"
246,"246","B.S.A"
247,"247","NORTON"
248,"248","ITALJET"
249,"249","VOSKHOD"
250,"250","INDIAN"
251,"251","GILERA"
252,"252","MAHINDRA"
253,"253","BABETA"
254,"254","BULTACO"
255,"255","BOCXOD"
256,"256","CARABELLA"
257,"257","MOTOGUZZI"
258,"258","PACER"
259,"259","PANNONIA"
260,"260","PANHARD"
261,"261","RONART"
262,"262","SAMSUNG"
263,"263","SANGLAS"
264,"264","SUMBEAM"
265,"265","SINGER"
266,"266","SAVA"
267,"267","TRABANT"
268,"268","THAMES"
269,"269","VOSJOD"
270,"270","WHITE"
271,"271","LML"
272,"272","TATA"
273,"273","SMART"
274,"274","VARZI"
275,"275","LIFAN"
276,"276","KOREMOTO"
277,"277","AKT"
278,"278","SAIC CHERY"
279,"279","DINLI"
280,"280","GAS GAS"
281,"281","CHANGAN"
282,"282","OKLAN"
283,"283","HAFEI"
284,"284","LINHAI"
285,"285","MAX MOTOR"
286,"286","QINGQI"
287,"287","GEELY"
288,"288","CHANA"
289,"289","CHERY"
290,"290","SHENGQIBAO"
291,"291","JEZHANG"
292,"292","AYCO"
293,"293","PIONEER"
294,"294","SAIC WULING"
295,"295","KINLON"
296,"296","CHANGJIANG"
297,"297","JET UKM"
298,"298","AMC"
299,"299","SIGMA"
300,"300","MINI POCKET BIKE"
301,"301","VICTORY"
302,"302","CHANGHE"
303,"303","LONCIN"
304,"304","KAZUKI"
305,"305","VENTO"
306,"306","GOMOTOR"
307,"307","XIALI"
308,"308","TITANIA"
309,"309","JINAN"
310,"310","ACCURA"
311,"311","HONLEI"
312,"312","CPI"
313,"313","BYD"
314,"314","DUKAR"
315,"315","SKYGO"
316,"316","PASAGGIO"
317,"317","KAYAK"
318,"318","AUPACO"
319,"319","MC MOTOR"
320,"320","JIANGSU"
321,"321","SACHS BIKES"
322,"322","KYMCO"
323,"323","MZ"
324,"324","JUNESUN"
325,"325","REAR"
326,"326","WALTER"
327,"327","KINROAD"
328,"328","MORGAN"
329,"329","HALLEY"
330,"330","UKM"
331,"331","ARIEL"
332,"332","ATV"
333,"333","WONJAN"
334,"334","WANXIN"
335,"335","JMSTAR"
336,"336","ZONGSHEN"
337,"337","BEST"
338,"338","FUTONG"
339,"339","YINGANG"
340,"340","UNISON"
341,"341","SKOOT MOTORCYCLES"
342,"342","CHONGQING"
343,"343","ARGO"
344,"344","HUONNIAO"
345,"345","KYOTO"
346,"346","CMC"
347,"347","URAL"
348,"348","FIRENZE"
349,"349","GREAT WALL"
350,"350","GENESIS"
351,"351","POLARIS ATV"
352,"352","XISPA"
353,"353","KEEWAY"
354,"354","ZHEJIANG"
355,"355","SUMOTO"
356,"356","AUTOCAR WHITE"
357,"357","KINROAD XINTIAN"
358,"358","MOTOR UNO"
359,"359","USW"
360,"360","APRILIA"
361,"361","RENNO"
362,"362","GALARDI"
363,"363","TYCO"
364,"364","BUELL"
365,"365","JONWAY"
366,"366","JAC"
367,"367","BORGO"
368,"368","ZHONGXING"
369,"369","U.S.W.MOTORS"
370,"370","SYM"
371,"371","ROYAL ENFIELD"
372,"372","JOYNER"
373,"373","AVANTI"
374,"374","SANYA"
375,"375","FOTON"
376,"376","CNENLON"
377,"377","YAMATI"
378,"378","ROKETA"
379,"379","ACCURO"
380,"380","SHINERAY MOTOS"
381,"381","UNITED MOTORS"
382,"382","VENOM MOTORS"
383,"383","TMEC"
384,"384","QJ"
385,"385","HAOJIN"
386,"386","JBWCO"
387,"387","SONGSHENG"
388,"388","JMC"
389,"389","VERUCCI"
390,"390","BRITISH"
391,"391","COBRA"
392,"392","CUSHMA"
393,"393","BUYANG"
394,"394","GURGEL"
395,"395","HUMBERT"
396,"396","LA SALLE"
397,"397","PIERCE ARROW"
398,"398","PUMA"
399,"399","SATURN"
400,"400","WULING"
401,"401","NITRO"
402,"402","HAILI"
403,"403","SAEHAN"
404,"404","TONGKO"
405,"405","FRIBEST"
406,"406","NEW ERA"
407,"407","BRP/CAN AM"
408,"408","WEST"
409,"409","XINGYUE"
410,"410","VENTIE"
411,"411","XL XINLING"
412,"412","YUAN"
413,"413","ACB"
414,"414","HAMMER HEAD"
415,"415","ZHEJIANG QIANJIANG"
416,"416","ZHUJIANG"
417,"417","POLARIS"
418,"418","SCOOTER"
419,"419","DFM"
420,"420","YAKIMA"
421,"421","MTK"
422,"422","FASTER 301 CHOIPERS"
423,"423","BOURGET"
424,"424","REX MOTO"
425,"425","HY MOTOR"
426,"426","TVS"
427,"427","HAOMEN"
428,"428","ZHEJIANG LINGTIAN"
429,"429","ZOTYE"
430,"430","SUKYAMA"
431,"431","CHANGFENG"
432,"432","XINGUE"
433,"433","KINGLONG HIGER"
434,"434","KANDI"
435,"435","BMA"
436,"436","ATM"
437,"437","MD BIKES"
438,"438","WUYANG"
439,"439","JINFENG"
440,"440","PANTERA"
441,"441","TERRA JET"
442,"442","WCR"
443,"443","KANCHAO"
444,"444","FUXIANDA"
445,"445","GWM"
446,"446","RIDER"
447,"447","ROSSETTI"
448,"448","DONG FENG"
449,"449","TIXXON"
450,"450","ZNEN"
451,"451","EKA MOTORS"
452,"452","OROMOTO"
453,"453","FAW"
454,"454","SQ RACING"
455,"455","ZAHAV"
456,"456","YIBEN-YBFALCON"
457,"457","ITALIKA"
458,"458","AKITA"
459,"459","BIG"
460,"460","DAIFO"
461,"461","EAGLE CARGO"
462,"462","FUDEPAI"
463,"463","GONOW"
464,"464","GUZZI"
465,"465","IOTA"
466,"466","JIANG"
467,"467","JIN JIN"
468,"468","KYNLON"
469,"469","MOTO MORINI"
470,"470","NIKITA"
471,"471","REBELLIN"
472,"472","SHIJIAZHUANG"
473,"473","TALON"
474,"474","TELCOLINE"
475,"475","TX MOTORS"
476,"476","WORKMAN"
477,"477","WUZHENG"
478,"478","XINKAI"
479,"479","A.J.S"
480,"480","ACCESS"
481,"481","ACE"
482,"482","ACE MOTOR"
483,"483","ACM-ZHONG"
484,"484","ADDO"
485,"485","ALLAD"
486,"486","ALLIS CHALMERS"
487,"487","ALPS"
488,"488","AMM"
489,"489","AMW"
490,"490","AP PIAGGIO"
491,"491","APELCO GEN-MTO"
492,"492","ASTRA"
493,"493","BACCIO"
494,"494","BAODIAO"
495,"495","BARBER GREENE"
496,"496","BASHAN"
497,"497","BAUKEMA"
498,"498","BAW"
499,"499","BETA"
500,"500","BETTER"
501,"501","BIANCHI"
502,"502","BIMOTA"
503,"503","BLAW KNOX"
504,"504","BLUE STONE"
505,"505","BOBCAT"
506,"506","BODYWORK"
507,"507","BONSER"
508,"508","BOUSER"
509,"509","BRIDGE"
510,"510","BRONTO"
511,"511","BUCYRUS"
512,"512","BUGENI"
513,"513","CAMECO"
515,"515","CAPACITY"
516,"516","CARIBE"
517,"517","CARTER BROTHERS"
518,"518","CASE"
519,"519","CATERPILLAR"
520,"520","CATFLYER"
521,"521","CHAMPION"
522,"522","CHANGLIN"
523,"523","CHARLY"
524,"524","CHARMING"
525,"525","CHINSU"
526,"526","CHONGQING ZONGSHEN"
