"id","code","name"
0,"0","S.R.S"
1,"1","ESTACAS"
2,"2","FURGÓN"
3,"3","CISTERNA O TANQUE"
4,"4","VOLCO"
5,"5","TOLVA"
6,"6","RECOLECTOR COMPACTADOR"
8,"8","CERRADA"
10,"10","ESTIBAS"
11,"11","BOTELLERO"
12,"12","PICK UP"
13,"13","PLATON"
14,"14","HORMIGONERO"
16,"16","GRÚA"
18,"18","NIÑERA"
21,"21","CABINADO"
25,"25","DOBLE CABINA"
29,"29","BOMBA"
33,"33","Panel"
42,"42","EQUIPO DE LAVADO"
69,"69","CAMABAJA"
79,"79","VAN"
98,"98","EQUIPO PETROLERO"
102,"102","IRRIGADOR DE AGUA"
103,"103","EQUIPO IRRIGADOR DE ASFALTO"
201,"201","ARTICULADO"
217,"217","PLANCHON"
218,"218","REPARTO"
230,"230","GRANELERA"
231,"231","PORTACONTENEDORES"
237,"237","CAÑERO"
275,"275","PLATAFORMA CON EQUIPO ESPECIAL"
285,"285","PLATAFORMA CON ESTACAS DESMONTABLES"
295,"295","VOLQUETE"
309,"309","MODULAR"
312,"312","MULTIPROPOSITO"
319,"319","CARBONERA"
484,"484","CARROTALLER"
501,"501","FRAC TANK"
512,"512","CAMPAMENTO"
527,"527","FRACTURADOR"
813,"813","PLATAFORMA"
