"id","code","name"
1,"1","AGRO DEL FONCE"
2,"2","ANDI ESTRUCTURAS MET"
3,"3","ATOKA"
4,"4","ALCAR"
5,"5","CLARK"
6,"6","DEUTZ"
7,"7","DISALUM"
8,"8","DISETRAN"
9,"9","DITE S.A."
10,"10","DUQUE Y CIA SCS"
11,"11","EL SOL"
12,"12","ESTEMCO"
14,"14","FLEETWOOD"
15,"15","FONTAINE"
16,"16","FORTALEZA"
17,"17","FRUEHAUF"
18,"18","GE  CAPITAL"
19,"19","GREAD DANE"
20,"20","GREAT DANE"
21,"21","GUERREROS"
22,"22","HALLIBURTON"
23,"23","HEILL"
24,"24","HIDROAMERICA"
25,"25","WELDERS INDUSTRY"
26,"26","IMEVA"
27,"27","INCA FRUEHAUF"
28,"28","INDU TAN PAS"
29,"29","INDUREMOLQUES"
30,"30","INDUROC"
31,"31","IND ACEVEDO Y CIA LTDA"
32,"32","IND METALMECAN P.B.A."
33,"33","IND SAN MARCOS"
35,"35","J.S SERVIPETROL LTDA"
36,"36","LUFKIN"
37,"37","TEXAS BRAGG ENTER"
38,"38","THE HEILCO"
39,"39","TISSOT"
40,"40","NL CONTAPA S.A."
41,"41","NORGAS"
42,"42","PIONEER"
43,"43","PROCEIN"
44,"44","PRODITANQUES"
45,"45","PUBLIFIBRA"
46,"46","REMOLQUES DEL CARIBE"
47,"47","RICHMOND LOX EQUIP."
48,"48","ROMARCO"
49,"49","SCHIEN"
50,"50","SER LA QUINTA RUEDA"
51,"51","SERVIMECOL"
52,"52","SERVITRAILER"
53,"53","TALBERTxxxxxxx"
54,"54","TALLER ABRAPOL"
55,"55","TALLERES TRAILER TULUA"
56,"56","TALLERES Y REMOLQUES"
57,"57","TALLERES Y TALLERES"
58,"58","TECNIPESADOS"
59,"59","TOP & HAT"
60,"60","TRAILMOVILE"
61,"61","UTTILITY"
62,"62","VIQUING"
63,"63","WABASH"
64,"64","WENGER "
65,"65","WILLIAMSEN"
66,"66","COM TRAYLER"
67,"67","CAPRI"
68,"68","JADEHEL"
69,"69","TECNICAR"
70,"70","CRYENCO"
71,"71","METALCONT"
72,"72","INTRACO"
73,"73","IMECOL"
74,"74","KLEIN"
75,"75","METALINOX"
76,"76","WELDSHIP"
77,"77","APOLO"
78,"78","MECTEL"
79,"79","TALLERES BERNAL VALBUENA "
80,"80","SIN MARCA"
81,"81","IMCAR"
82,"82","VANEGAS"
83,"83","OXITANQUES"
84,"84","TRAILERES Y TRACTOMULAS"
85,"85","TRA SABANA"
86,"86","ALCICAR"
87,"87","MARCAUTO"
88,"88","SERVI-CHASIS"
89,"89","QUINTA RUEDA"
90,"90","TALLERES CEPEDA"
91,"91","IND HILER FONSECA"
92,"92","ORINOCO"
93,"93","INDUTANQUES"
94,"94","CARROCERIAS HERNANDEZ"
95,"95","PROTRAIL"
96,"96","SNR"
97,"97","TRAILERSMAN"
98,"98","TALLERES UNIDOS"
99,"99","CARREMOL"
100,"100","HIGHWAY"
101,"101","TECNICOTANQUES"
102,"102","TALL. BOYACA"
103,"103","ACERAL"
104,"104","TRAILERS Y TRAILERS"
105,"105","VICMAHER"
106,"106","ECOLTANQUES"
107,"107","COMESA"
108,"108","SER-REMOLQUES"
109,"109","METALFABRIC"
110,"110","TRACTOREMOLQUE"
111,"111","IND. MUSTANG"
112,"112","DIEGO OTERO"
113,"113","RUSSELL"
114,"114","WHITE MARTINS"
115,"115","COLREMOLQUES"
116,"116","JAWAI"
117,"117","FREE-WAYS"
118,"118","GAMEZA"
119,"119","H.B. TRAYLERS"
120,"120","TALLERES LAVERDE"
121,"121","GOLDHOFER"
122,"122","TRACTEC LTDA."
123,"123","H.B. FERROSTAAI"
124,"124","METAL PRODUCTOS LTDA."
125,"125","TALLERES NAVARRETE"
126,"126","CEDAL S.A"
127,"127","M.CARTER"
128,"128","FREEWAY"
129,"129","CYAN"
130,"130","FAJARDO"
131,"131","EQUINOX"
132,"132","CHALLENGER"
133,"133","TRAILTEC"
134,"134","ANDITRAILERS"
135,"135","AUTOCHASIS"
136,"136","TECNISANTANDER"
137,"137","INSAR"
138,"138","IAS NECAR"
139,"139","SAMDEL"
140,"140","LOADCRAFT"
141,"141","TRACTEC"
142,"142","IND BERMEO"
143,"143","METALTANQUES"
144,"144","CONTINENTAL"
145,"145","CONSTRUCTANQUES"
146,"146","INDUROMETAL"
147,"147","BETNA INTERNAL"
148,"148","ONEIDA"
149,"149","WORLEY WELDING WORKS"
150,"150","MUSTANG"
151,"151","ASPEN  TRAILER"
152,"152","TRINITY - IMA"
153,"153","RH INDUSTRIAL"
154,"154","PREMMIER"
155,"155","CICOLGAS"
156,"156","BUSSCAR DE COLOMBIA"
157,"157","CARTANQUES"
158,"158","STETTER"
159,"159","INTRASECOL"
160,"160","BRIAB"
161,"161","SCHEUERLE"
162,"162","HAWAIT"
163,"163","AUTOCARROF"
164,"164","BIRMINGHAM"
165,"165","DISTRAL"
166,"166","ARANGO Y CIA."
167,"167","TALLERES ALVARO PACHON"
168,"168","IND EL TRAILER"
169,"169","AMERICA"
170,"170","INMETALAROS"
171,"171","GOMEZ GUERRERO"
172,"172","BAYONA TRAILER"
173,"173","C. TANQUES"
174,"174","HOBBS"
175,"175","IND. LA SABANA"
176,"176","C. TRANSTANQUES"
177,"177","SUPERIOR"
179,"179","CHANCEY"
180,"180","ASH DOWN-MFG-CORT"
181,"181","SERVIVOLCOS"
182,"182","TRAILERS Y REMOLQUES"
183,"183","FAMERS"
184,"184","TRANSLICOL"
185,"185","PALOMINO"
186,"186","METALTECNICAS"
187,"187","TMM"
188,"188","IME"
189,"189","COLTRAILER"
190,"190","MULTITRAILERS"
191,"191","EDASA INFRA"
193,"193","HI"
195,"195","TECNITANQUES"
196,"196","MACTRAILERS"
197,"197","INMETALACS"
198,"198","TALLERES ESPINEL"
199,"199","TANCOLSA"
200,"200","RODRIREMOLQUES"
201,"201","PANAMERICANA"
202,"202","FABRIMEC"
203,"203","IND. TMQ"
204,"204","TRANSTRAILER"
205,"205","NORTRAILERS"
206,"206","ORLTRAILER"
207,"207","GREPER"
208,"208","RANDON"
209,"209","TELVAL"
210,"210","SCHLUMBERGER DOWELL"
211,"211","CARROCERIAS MODERNA"
212,"212","TROPICAL"
213,"213","METALMECANICAS P.B.A."
214,"214","DISMET"
215,"215","HAMMAR"
216,"216","WELLS CARGO"
217,"217","CARGO VAN"
218,"218","INDUTER AGRICOLA"
219,"219","TALLER RAUL CASTRO"
220,"220","RAFAEL ESCOBAR CONTRERAS"
221,"221","SIETE AMIGOS"
222,"222","TRAILECOL"
223,"223","ADVANCES SYSTEMAS"
224,"224","ALCON"
225,"225","BPMH OLIMPIX"
226,"226","CARROCERIAS ANTIOQUIA"
228,"228","CHAMA"
230,"230","COMERCIAL DE CARROCERIAS"
232,"232","CRYOGAS BARBOSA"
233,"233","DUNHAM"
234,"234","KPI-JCI"
235,"235","FALCON"
238,"238","GERPLAP"
242,"242","HERCULES"
244,"244","IMPORSAN"
246,"246","INDUTRAYLER"
247,"247","ITC"
248,"248","IVICO"
249,"249","LIDDELL"
251,"251","ATR S.A.S"
252,"252","RA NESTOR GENTIL CASTRO"
253,"253","RAUL CASTRO B."
254,"254","REPARTRAILERSVAN"
255,"255","SANTANDEREANA DE CARROC"
256,"256","SERINCO"
257,"257","SOCIEDAD TRACTEC"
258,"258","TALLERES INDU. DIAZ"
259,"259","TALLER INDU. PANAMERICANO"
260,"260","TALLERES PERILLA"
261,"261","TECNITRAILERS"
262,"262","INCOLS"
263,"263","MACKOS"
264,"264","ROGERS"
265,"265","STRICK"
266,"266","H.B."
267,"267","ICEBERG"
268,"268","TRAILER'S SANTANDER"
269,"269","4 STAR"
270,"270","BAUJAHN"
271,"271","FAB. Y REP. TRLER LLANERO"
272,"272","CARDI"
273,"273","COMETAL"
274,"274","COOPELLAND"
275,"275","DIDEL"
276,"276","DOTERO TRILER"
277,"277","DORSEY"
278,"278","ESTRUMETAL"
279,"279","FABRIMOTEC"
280,"280","FATECOLCAR"
281,"281","FIGLAS"
283,"283","IND JULCAR"
284,"284","IND METALMECANICAS RUEDA"
285,"285","INGELMET"
286,"286","INTERCONSUL"
287,"287","LEOPOLDINO"
289,"289","MANAURE"
290,"290","METALAGRO"
291,"291","METALFURGONES"
292,"292","NECARTE"
294,"294","REMOLQUES PJH"
295,"295","REPAC"
297,"297","TALLERES BUCARAMANGA"
299,"299","TAMER"
300,"300","TALMER"
302,"302","UNLIMITED"
304,"304","CHOICE TRAILERS"
305,"305","FONCAR"
306,"306","THERMOKING"
307,"307","FORERO"
308,"308","TESCARGA"
309,"309","WIZTICO CHALLENGER TRAILE"
310,"310","A & R TANQUES INGENIER"
311,"311","IND EL BARCO"
312,"312","AZTEC"
313,"313","DYSON"
314,"314","CAR CAMACHO"
315,"315","KIDRON"
316,"316","TRAVOR"
317,"317","ARASANZ"
318,"318","SILAR"
319,"319","KING"
320,"320","PASCUAL"
321,"321","FACCHINI"
322,"322","GRWR - PRONT"
323,"323","TINKEN"
324,"324","EQUITRAILER"
325,"325","I. G. S. A."
326,"326","TECNI-SANDER"
327,"327","SERVITRACK"
328,"328","STEEL TRAILERS"
329,"329","TECNOTRAILERS"
330,"330","GEMUZA"
331,"331","INMETALCAR"
332,"332","INCAS"
333,"333","SURAMERICANA"
334,"334","REMOLDANNY"
335,"335","INCOLTT JC"
336,"336","TALLER BELPER"
337,"337","HYSTER"
338,"338","TALLERES CESPEDES"
339,"339","ISOLDA"
340,"340","CONSTRUTRAILER"
341,"341","TRAYCOL E.U."
342,"342","MERRITT"
343,"343","GRAN ANDINO"
344,"344","IC&M LTDA"
345,"345","TRAILERSANDER"
346,"346","TALLER OVEL"
347,"347","TODO TRAILERS"
348,"348","ISBACAR"
349,"349","GERMAR GMG"
350,"350","FULL TRAILER"
351,"351","CIBER"
352,"352","ANALYTYCA"
353,"353","TALLERES TRACKMAN"
354,"354","E.F.A."
355,"355","TRAILERS FEGAM"
356,"356","IND.METALMEC.MORENO S.A.S"
357,"357","ECOIL SERVICES LTDA."
358,"358","SIERRA INTL"
360,"360","INDUCAPI"
361,"361","TALLERES PACHON"
362,"362","BELTRAILERS"
363,"363","LOHR"
364,"364","T&T"
365,"365","CARROCERIAS PRISMA"
366,"366","NATIONAL PRIETO"
367,"367","FELO"
368,"368","ISMACHA"
369,"369","MORA"
370,"370","FMI"
371,"371","VERING INGENIEROS ASOCIAD"
372,"372","WITZCO CHALLENGER RG50 "
373,"373","REMOLCABIM"
375,"375","TRAYVOCOL"
376,"376","INTRAILER LTDA"
377,"377","INDUSTRIAS MAHERCA"
378,"378","MAREN FOX"
379,"379","TALLER PEDRO URREGO "
380,"380","ELIACERO S.A.S"
381,"381","WEATHERFORD"
382,"382","POTRAIL"
383,"383","FAVECZA"
384,"384","TRAILERS SILVER"
385,"385","GREAT TRUCK"
386,"386","FRANCOCOLOMBIANA"
387,"387","GUERCAR"
388,"388","HECHIZA"
389,"389","CARROCERIAS MORENO"
390,"390","CLINICA HIDRAULICA LTDA"
391,"391","INDUSTRIAS INTRACAR"
392,"392","WELLER"
393,"393","BISON TRUCKS"
394,"394","REPRESENTAC INDUST. ORION"
395,"395","BERTOLINI"
