"id","code","name"
1,"1","VERDE ACEITUNA"
2,"2","VERDE ACERO"
3,"3","VERDE ACUARELA"
4,"4","AMARILLO"
5,"5","AZUL"
6,"6","AMARILLO DAKAR"
7,"7","BEIGE"
8,"8","BLANCO"
9,"9","VERDE ACUARIUS"
10,"10","BLANCO BRUMA"
11,"11","CAFE"
12,"12","CAFE BEIGE"
13,"13","AZUL CARIBE"
14,"14","CARMELITO PLATEADO METALIZADO"
15,"15","CHAMPANA"
16,"16","AZUL CIELO"
17,"17","AZUL CLARO"
18,"18","ROJO CLASICO"
19,"19","CAFE MARRON"
20,"20","CREMA"
21,"21","AMBAR METALIZADO"
22,"22","BLANCO METALIZADO"
23,"23","ARENA PLATA"
24,"24","DORADO"
25,"25","ARMADA"
26,"26","AZUL FANTASMA"
27,"27","ROJO FUEGO"
28,"28","GRIS"
30,"30","ASPEN SILVER"
32,"32","AZUL IMPERIAL"
33,"33","VERDE JADE"
34,"34","VERDE ALAMO"
35,"35","ASTRO PLATA"
36,"36","ROUGE MANDARINE"
37,"37","MARFIL"
38,"38","VERDE MENTA"
39,"39","ATLANTIS BLUE"
40,"40","MORADO CORDOBES"
41,"41","MOSTAZA"
42,"42","ANARANJADO"
43,"43","NEGRO"
44,"44","ORO"
45,"45","AZUL OSCURO"
46,"46","VERDE OTOÑAL"
47,"47","AZUL PACIFICO"
48,"48","PERLA"
49,"49","PLATEADO"
50,"50","AZUL ADRIATICO"
51,"51","AZUL AGUA"
52,"52","NEGRO CUARZO"
53,"53","ROJO"
54,"54","VERDE AMAZONIA"
55,"55","BEIGE SAHARA"
56,"56","VERDE CIPRES"
57,"57","VERDE SECO"
58,"58","VERDE GRISOSO"
59,"59","TABACO"
60,"60","TERRACOTA"
61,"61","ROJO TERRANOVA"
62,"62","BELL FLOWER"
63,"63","VERDE AMERICA"
65,"65","VINO TINTO"
66,"66","AZUL ZAFIRO"
67,"67","ROSADO"
68,"68","CENIZA GRAFITO"
69,"69","CEREZA"
70,"70","CINZA EJECUTIVO"
71,"71","COBRE"
72,"72","LADRILLO"
73,"73","MARRON"
74,"74","SILICE TORNADO"
75,"75","STRATO PLATA"
76,"76","ZAPOTE"
77,"77","BLANCO DE SEVRES"
78,"78","TURQUESA OSCURO"
79,"79","TREL GREEN"
80,"80","ARENA"
81,"81","NIAGARA"
82,"82","AZUL ALBORADA"
83,"83","AGUA CRISTAL"
84,"84","ROBLE"
85,"85","GRIS PLOMO"
86,"86","ALUMINIO"
87,"87","PLATA"
88,"88","PLATA AHUMADO"
89,"89","PLATA NIQUEL"
90,"90","SANDALO WOOD"
91,"91","CORAL"
92,"92","SANDALO"
93,"93","SAMOABLAU"
94,"94","LILA"
95,"95","MARRON ACERO"
96,"96","OCRE"
97,"97","VERDE ZETO"
98,"98","VIOLETA"
99,"99","AZUL ATLANTICO"
100,"100","AZUL ATLANTIS"
101,"101","AZUL AVIACION"
102,"102","AZUL BAHIA"
103,"103","AZUL BEIGE"
104,"104","AZUL BRILLANTE"
105,"105","AZUL BRUMA"
106,"106","AZUL CANCUN"
107,"107","AZUL CELESTE"
108,"108","AZUL COBALTO"
109,"109","AZUL CORREAL"
110,"110","AZUL COSMICO"
111,"111","AZUL DANES"
112,"112","AZUL DANUBIO"
113,"113","AZUL ELECTRICO"
114,"114","AZUL FANTASIA"
115,"115","AZUL FRESCO"
116,"116","AZUL GENESIS"
117,"117","AZUL GRAVA"
118,"118","AZUL IBIZA"
119,"119","AZUL INDIGO"
120,"120","AZUL INFINITO"
121,"121","AZUL LAGO"
122,"122","AZUL LAGUNA"
123,"123","AZUL MARINO"
124,"124","AZUL MEDITERRANEO"
125,"125","AZUL METAL"
126,"126","AZUL MICA"
127,"127","AZUL MONACO"
128,"128","AZUL MONTEVIDEO"
129,"129","AZUL MOONLIGTH"
130,"130","AZUL NAUTICO"
131,"131","AZUL NAVAL"
132,"132","AZUL NAVY"
133,"133","AZUL NEVADO"
134,"134","AZUL NIEBLA"
135,"135","AZUL NOCTURNO"
136,"136","AZUL OXFORD"
137,"137","AZUL PERLA"
138,"138","AZUL PERLECENTE"
139,"139","AZUL PETROLEO"
140,"140","AZUL POLICROMADO"
141,"141","AZUL ROYAL"
142,"142","AZUL SAJON"
143,"143","AZUL SANTIAGO"
144,"144","AZUL SIDNEY"
145,"145","AZUL TORMENTA"
146,"146","AZUL TURQUEZA"
147,"147","AZUL VERDOSO"
148,"148","AZUL VIOLETA"
149,"149","AZUL WINDSOR"
150,"150","BEIGE ALABASTRO"
151,"151","BEIGE CARRARA"
152,"152","BEIGE CHAMPAGNA"
153,"153","BEIGE CINZA"
154,"154","BEIGE CLARO"
155,"155","BEIGE DUNA"
156,"156","BEIGE FRASER"
157,"157","BEIGE HUESO"
158,"158","BEIGE IMPALA"
159,"159","BEIGE JIZAN"
160,"160","BEIGE MARFIL"
161,"161","BEIGE MARRON"
162,"162","BEIGE MYFAIR"
163,"163","BEIGE PHENICIEN"
164,"164","BLANCO ALPINO"
165,"165","BLANCO ANTARTIDA"
166,"166","BLANCO APERLADO"
167,"167","BLANCO ARCO"
168,"168","BLANCO ARTICO"
169,"169","BLANCO BANQUISEN"
170,"170","BLANCO BANQUIST"
171,"171","BLANCO BRILLANTE"
172,"172","BLANCO CALMA"
173,"173","BLANCO CASABLANCA"
174,"174","BLANCO CHAWTON"
