"id","configuration_id","semitrailer_id","name","max_weight","min_weight","minimum_gallons","maximum_gallons"
4000,40,1,"M2 - Motocarro de 2 ejes - Sin Semiremolque",0,0,0,0
4500,45,1,"CA - Camioneta de 2 ejes - Sin Semiremolque",5000,5,0,0
4800,48,1,"V2 - Volqueta de 2 ejes - Sin Semiremolque",17500,100,0,0
4871,48,71,"V2R2 - Volqueta de 2 ejes - Remolque de 2 ejes",40000,0,0,10000
4872,48,72,"V2R3 - Volqueta de 2 ejes - Remolque de 3 ejes",40000,0,0,10000
4900,49,1,"V3 - Volqueta de 3 ejes - Sin Semiremolque",28700,200,0,0
4971,49,71,"V3R2 - Volqueta de 3 ejes - Remolque de 2 ejes",40000,1000,0,0
4972,49,72,"V3R3 - Volqueta de 3 ejes - Remolque de 3 ejes",48300,0,0,10000
5000,50,1,"2 - Camión Rígido de 2 ejes - Sin Semiremolque",17500,8,30,4000
5071,50,71,"2R2 - Camión Rígido de 2 ejes - Remolque de 2 ejes",31775,40,0,0
5072,50,72,"2R3 - Camión Rígido de 2 ejes - Remolque de 3 ejes",48175,40,0,0
5081,50,81,"2B1 - Camión Rígido de 2 ejes - Remolque Balanceado de 1 eje",25625,30,0,0
5082,50,82,"2B2 - Camión Rígido de 2 ejes - Remolque Balanceado de 2 ejes",32800,40,0,0
5083,50,83,"2B3 - Camión Rígido de 2 ejes - Remolque Balanceado de 3 ejes",32800,40,0,0
5100,51,1,"3 - Camión Rígido de 3 ejes - Sin Semiremolque",28700,30,40,8000
5171,51,71,"3R2 - Camión Rígido de 3 ejes - Remolque de 2 ejes",45100,50,0,0
5172,51,72,"3R3 - Camión Rígido de 3 ejes - Remolque de 3 ejes",49300,60,0,0
5181,51,81,"3B1 - Camión Rígido de 3 ejes - Remolque Balanceado de 1 eje",33825,40,0,0
5182,51,82,"3B2 - Camión Rígido de 3 ejes - Remolque Balanceado de 2 ejes",41000,50,0,0
5183,51,83,"3B3 - Camión Rígido de 3 ejes - Remolque Balanceado de 3 ejes",49200,60,0,0
5200,52,1,"4 - Camión Rígido de 4 ejes - Sin Semiremolque",36900,40,40,13000
5271,52,71,"4R2 - Camión Rígido de 4 ejes - Remolque de 2 ejes",49300,60,0,0
5272,52,72,"4R3 - Camión Rígido de 4 ejes - Remolque de 3 ejes",49300,70,0,0
5273,52,73,"4R4 - Camión Rígido de 4 ejes - Remolque de 4 ejes",49300,80,0,0
5281,52,81,"4B1 - Camión Rígido de 4 ejes - Remolque Balanceado de 1 eje",45100,50,0,0
5282,52,82,"4B2 - Camión Rígido de 4 ejes - Remolque Balanceado de 2 ejes",52275,60,0,0
5283,52,83,"4B3 - Camión Rígido de 4 ejes - Remolque Balanceado de 3 ejes",52275,70,0,0
5361,53,61,"2S1 - Tractocamión de 2 ejes - Semiremolque de 1 eje",27765,30,70,11000
5362,53,62,"2S2 - Tractocamión de 2 ejes - Semiremolque de 2 ejes",32800,40,70,11000
5363,53,63,"2S3 - Tractocamión de 2 ejes - Semiremolque de 3 ejes",41513,50,70,11000
5461,54,61,"3S1 - Tractocamión de 3 ejes - Semiremolque de 1 eje",29725,40,100,13000
5462,54,62,"3S2 - Tractocamión de 3 ejes - Semiremolque de 2 ejes",49200,50,100,13000
5463,54,63,"3S3 - Tractocamión de 3 ejes - Semiremolque de 3 ejes",53300,60,100,13000
5464,54,64,"3S4 - Tractocamión de 3 ejes - Semiremolque de más de 3 ejes",54000,70,110,13000
5562,55,62,"4S2 - Tractocamión de más de 3 ejes - Semiremolque de 2 ejes",53000,1000,1000,13000
