"id","code","name","municipality_id","department_id","postal_code"
5001,"05001000","MEDELLIN ANTIOQUIA","5001","5","050015"
5002,"05002000","ABEJORRAL ANTIOQUIA","5002","5","055030"
5004,"05004000","ABRIAQUI ANTIOQUIA","5004","5","057460"
5021,"05021000","ALEJANDRIA ANTIOQUIA","5021","5","053820"
5030,"05030000","AMAGA ANTIOQUIA","5030","5","055840"
5031,"05031000","AMALFI ANTIOQUIA","5031","5","052840"
5034,"05034000","ANDES ANTIOQUIA","5034","5","056060"
5036,"05036000","ANGELOPOLIS ANTIOQUIA","5036","5","055830"
5038,"05038000","ANGOSTURA ANTIOQUIA","5038","5","051810"
5040,"05040000","ANORI ANTIOQUIA","5040","5","052850"
5042,"05042000","SANTAFE DE ANTIOQUIA ANTIOQUIA","5042","5","057050"
5044,"05044000","ANZA ANTIOQUIA","5044","5","056850"
5045,"05045000","APARTADO ANTIOQUIA","5045","5","057841"
5051,"05051000","ARBOLETES ANTIOQUIA","5051","5","057820"
5055,"05055000","ARGELIA ANTIOQUIA","5055","5","054830"
5059,"05059000","ARMENIA ANTIOQUIA","5059","5","055860"
5079,"05079000","BARBOSA ANTIOQUIA","5079","5","051020"
5086,"05086000","BELMIRA ANTIOQUIA","5086","5","051420"
5088,"05088000","BELLO ANTIOQUIA","5088","5","051053"
5091,"05091000","BETANIA ANTIOQUIA","5091","5","056070"
5093,"05093000","BETULIA ANTIOQUIA","5093","5","056860"
5101,"05101000","CIUDAD BOLIVAR ANTIOQUIA","5101","5","056460"
5107,"05107000","BRICENO ANTIOQUIA","5107","5","052060"
5113,"05113000","BURITICA ANTIOQUIA","5113","5","057030"
5120,"05120000","CACERES ANTIOQUIA","5120","5","052450"
5125,"05125000","CAICEDO ANTIOQUIA","5125","5","056840"
5129,"05129000","CALDAS ANTIOQUIA","5129","5","055440"
5134,"05134000","CAMPAMENTO ANTIOQUIA","5134","5","052020"
5138,"05138000","CANASGORDAS ANTIOQUIA","5138","5","057060"
5142,"05142000","CARACOLI ANTIOQUIA","5142","5","053450"
