"id","code","name"
1,"444444004","VICTORIA SEGUROS S.A."
2,"860026182","ALLIANZ S.A."
3,"1000000000","THE TRAVELERS INDEMNITY COMPANY"
4,"2000000000","JAH INSURANCE BROKERS CORP. FLORIDA USA"
5,"3000000000","ABBEY USA INC. MIAMI "
6,"4444440001","ANOVA MARINE INSURANCE"
7,"4444440002","ASSEKURANSA"
8,"4444440003","SAVE"
9,"4444440005","HANSEATICA COMPAÑIA DE SEGUROS DE TRANSPORTE"
10,"4444440006","UNION INSURANCE CO"
11,"4444440007","PING AN PROPERTY & CASUALTY INSURANCE CO Ltd. de CHINA"
12,"4444440008","MARSH GMBH"
13,"8000000921","SEGUROS BETA S.A. CORREDORES DE SEGUROS"
14,"8000216373","CRAWFORD COLOMBIA LTDA"
15,"8002260984","BBVA SEGUROS COLOMBIA S. A. SEGUROS GENERALES"
16,"8002261753","COLMENA RIESGOS PROFESIONALES COLMENA"
17,"8110191907","MAPFRE CREDISEGURO S. A."
18,"8301096784","JAH COMPANY SERVICES SAS"
19,"8600021807","SEGUROS COMERCIALES BOLÍVAR S.A."
20,"8600021846","SEGUROS COLPATRIA S.A."
21,"8600023985","AIG COLOMBIA SEGUROS DE VIDA S. A."
22,"8600024002","LA PREVISORA S. A. COMPAÑÍA DE SEGUROS"
23,"8600025057","ROYAL Y SUN ALLIANCE SEGUROS (COLOMBIA) S. A."
24,"8600025279","AGRICOLA DE SEGUROS S. A."
25,"8600025340","ZURICH COLOMBIA SEGUROS S.A."
26,"8600029454","Axa Colpatria  "
27,"8600048756","HDI SEGUROS S.A."
28,"8600091959","SEGUREXPO DE COLOMBIA S. A. ASEGURADORA DE CREDITO"
29,"8600095786","SEGUROS DEL ESTADO S.A. SEGUROS GENERALES"
30,"8600111536","POSITIVA COMPAÑÍA DE SEGUROS (ANTIGUA PREVISORA)"
31,"8600221375","COMPAÑÍA DE SEGUROS DE VIDA AURORA S. A."
32,"8600261825","ALLIANZ SEGUROS S.A."
33,"8600265186","ACE SEGUROS S.A."
34,"8600274041","COMPAÑIA CENTRAL DE SEGUROS"
35,"8600284155","LA EQUIDAD SEGUROS GENERALES ORGANISMO COOPERATIVO"
36,"8600319798","SEGUROS DE VIDA ALFA S. A. SEGUROS GENERALES"
37,"8600345205","CHUBB DE COLOMBIA COMPAÑIA DE SEGUROS S.A."
38,"8600370136","COMPAÑÍA MUNDIAL DE SEGUROS"
39,"8600377079","SBS SEGUROS COLOMBIA / AIG SEGUROS GENERALES S. A."
40,"8600382991","PAN AMERICAN DE COLOMBIA COMPAÑÍA DE SEGUROS DE VIDA"
41,"8600399880","LIBERTY SEGUROS S. A."
42,"8600692652","AON RISK SERVICES CENTRAL"
43,"8600703349","COMPAÑÍA ASEGURADORA DE FIANZAS S. A. CONFIANZA"
44,"8600703749","SEGUROS CONFIANZA S.A."
45,"8605246546","ASEGURADORA SOLIDARIA DE COLOMBIA"
46,"8903003832","GRUPO COLMENA CAPITALIZADORA COLMENA S. A."
47,"8903004658","CONDOR S. A. COMPAÑÍA DE SEGUROS GENERALES"
48,"8909034079","COMPAÑÍA SURAMERICANA DE SEGUROS S. A."
49,"8917000379","MAPFRE SEGUROS GENERALES DE COLOMBIA S. A."
50,"9002004353","CARDIF COLOMBIA SEGUROS GENERALES S.A."
51,"9008149161","BERKLEY INTERNATIONAL SEGUROS COLOMBIA S.A."
52,"9008469640","ZURICH COLOMBIA SEGUROS SA"
